SAMPLING_EVENT_ID,LOC_ID,UMD_LANDCOVER,UMD_WATERCOVER,YEAR
S5581797,L808822,12,1,2009
S5581823,L808828,12,2,2009
S5585811,L794164,9,1,2009
S5593926,L810417,12,1,2009
S5593952,L687602,9,1,2009
S5593969,L790600,12,1,2009
S5599126,L791657,12,1,2009
S5599864,L790429,9,1,2009
S5603279,L795754,8,1,2009
S5606301,L791662,8,2,2009
S5617851,L790429,9,1,2009
S5621056,L687602,9,1,2009
S5621083,L813450,12,2,2009
S5621113,L687541,12,1,2009
S5621138,L813455,9,1,2009
S5621149,L792830,9,1,2009
S5628009,L805639,9,1,2009
S5628013,L814286,9,1,2009
S5634350,L805557,5,2,2009
S5634550,L790597,12,1,2009
S5641919,L790429,9,1,2009
S5645742,L808822,12,1,2009
S5645780,L808828,12,2,2009
S5645798,L794164,9,1,2009
S5645926,L687602,9,1,2009
S5645965,L790600,12,1,2009
S5646039,L805557,5,2,2009
S5646086,L791657,12,1,2009
S5658606,L790429,9,1,2009
S5658619,L817946,6,1,2009
S5658642,L805557,5,2,2009
S5658693,L687541,12,1,2009
S5658742,L790429,9,1,2009
S5658765,L813455,9,1,2009
S5659067,L791662,8,2,2009
S5659079,L801883,0,0,2009
S5663549,L791657,12,1,2009
S5663576,L687602,9,1,2009
S5663616,L790600,12,1,2009
S5666421,L813455,9,1,2009
S5678081,L791657,12,1,2009
S5693080,L790600,12,1,2009
S5693117,L687602,9,1,2009
S10367300,L1481917,8,1,2010
S11315192,L687602,12,1,2010
S11315647,L793798,6,1,2010
S11315673,L605028,0,2,2010
S11315741,L687609,0,2,2010
S11315766,L687602,12,1,2010
S11315841,L792515,5,2,2010
S16759001,L791657,12,1,2010
S5718718,L790429,12,1,2010
S5728688,L790600,12,1,2010
S5728707,L687602,12,1,2010
S5729835,L791657,12,1,2010
S5768900,L791662,8,2,2010
S5768939,L791657,12,1,2010
S5785318,L687602,12,1,2010
S5785356,L790600,12,1,2010
S5790197,L790429,12,1,2010
S5798902,L791657,12,1,2010
S5798944,L687541,12,1,2010
S5798975,L793510,12,1,2010
S5802510,L790172,8,1,2010
S5802569,L836514,8,1,2010
S5816280,L838323,NA,2,2010
S5820015,L790429,12,1,2010
S5829607,L687602,12,1,2010
S5829703,L790600,12,1,2010
S5829711,L790597,12,1,2010
S5829741,L791657,12,1,2010
S5837459,L687609,0,2,2010
S5865942,L791657,12,1,2010
S5865975,L793798,6,1,2010
S5866001,L808828,8,2,2010
S5868455,L790600,12,1,2010
S5868469,L836514,8,1,2010
S5868512,L845503,8,1,2010
S5868578,L845513,NA,2,2010
S5901537,L791657,12,1,2010
S5924847,L808822,12,1,2010
S5924969,L850788,12,2,2010
S6007217,L687602,12,1,2010
S6007219,L790600,12,1,2010
S6007232,L791657,12,1,2010
S6007236,L790429,12,1,2010
S6011606,L805557,NA,2,2010
S6011655,L793798,6,1,2010
S6022661,L2604456,12,1,2010
S6023019,L845503,8,1,2010
S6023060,L836514,8,1,2010
S6023217,L791657,12,1,2010
S6023344,L687609,0,2,2010
S6051174,L790429,12,1,2010
S6054332,L791657,12,1,2010
S6058439,L790600,12,1,2010
S6058461,L801883,0,0,2010
S6058567,L791662,8,2,2010
S6071367,L805639,5,1,2010
S6071384,L814286,8,1,2010
S6082476,L791657,12,1,2010
S6092731,L808822,12,1,2010
S6092908,L792830,5,1,2010
S6092955,L687541,12,1,2010
S6097563,L792830,5,1,2010
S6112196,L687602,12,1,2010
S6112231,L790600,12,1,2010
S6112267,L791657,12,1,2010
S6112286,L790429,12,1,2010
S6122538,L687541,12,1,2010
S6131379,L791662,8,2,2010
S6131552,L836514,8,1,2010
S6131621,L793798,6,1,2010
S6131640,L836514,8,1,2010
S6131722,L791657,12,1,2010
S6138760,L808828,8,2,2010
S6143422,L808822,12,1,2010
S6143466,L793798,6,1,2010
S6146190,L793798,6,1,2010
S6152797,L791657,12,1,2010
S6154638,L793798,6,1,2010
S6160053,L805639,5,1,2010
S6164085,L687541,12,1,2010
S6164182,L791662,8,2,2010
S6185960,L790597,12,1,2010
S6185976,L795754,6,1,2010
S6185989,L805557,NA,2,2010
S6186019,L791657,12,1,2010
S6192023,L808822,12,1,2010
S6192423,L791657,12,1,2010
S6192447,L808828,8,2,2010
S6193644,L790429,12,1,2010
S6196195,L790172,8,1,2010
S6196212,L836514,8,1,2010
S6213254,L808822,12,1,2010
S6213262,L687602,12,1,2010
S6213269,L790600,12,1,2010
S6214633,L791657,12,1,2010
S6216283,L790429,12,1,2010
S6220732,L790429,12,1,2010
S6223871,L838323,NA,2,2010
S6223885,L808822,12,1,2010
S6224721,L790429,12,1,2010
S6230387,L880783,10,2,2010
S6233495,L687541,12,1,2010
S6235158,L790429,12,1,2010
S6247243,L808822,12,1,2010
S6247297,L790429,12,1,2010
S6251777,L790429,12,1,2010
S6319716,L808822,12,1,2010
S6319747,L793798,6,1,2010
S6326152,L687541,12,1,2010
S6326213,L893983,2,2,2010
S6326516,L791662,8,2,2010
S6335640,L790429,12,1,2010
S6335672,L791657,12,1,2010
S6340369,L790600,12,1,2010
S6340402,L792515,5,2,2010
S6340440,L687541,12,1,2010
S6340452,L793510,12,1,2010
S6340475,L790597,12,1,2010
S6340501,L805557,NA,2,2010
S6343288,L810417,9,1,2010
S6392383,L790429,12,1,2010
S6398515,L791657,12,1,2010
S6398541,L850788,12,2,2010
S6402841,L793798,6,1,2010
S6402899,L850788,12,2,2010
S6405766,L793510,12,1,2010
S6412066,L792515,5,2,2010
S6418132,L793798,6,1,2010
S6426815,L687609,0,2,2010
S6426820,L907463,12,1,2010
S6426823,L907464,2,1,2010
S6426834,L907465,0,2,2010
S6477994,L836514,8,1,2010
S6478003,L790172,8,1,2010
S6487999,L791657,12,1,2010
S6488010,L687602,12,1,2010
S6488047,L790600,12,1,2010
S6498338,L790429,12,1,2010
S6506568,L790429,12,1,2010
S6508000,L792515,5,2,2010
S6537126,L929661,9,1,2010
S6542753,L813450,12,2,2010
S6548871,L932570,8,2,2010
S6551888,L687609,0,2,2010
S6551964,L933453,0,0,2010
S6560173,L935623,8,1,2010
S6569039,L687602,12,1,2010
S6569051,L790600,12,1,2010
S6569063,L805557,NA,2,2010
S6570631,L814286,8,1,2010
S6588321,L791657,12,1,2010
S6593105,L801883,0,0,2010
S6593155,L944325,0,0,2010
S6593207,L791662,8,2,2010
S6596563,L790429,12,1,2010
S6600747,L790429,12,1,2010
S6614086,L808828,8,2,2010
S6620320,L951698,8,1,2010
S6628505,L805639,5,1,2010
S6667786,L791657,12,1,2010
S6724395,L791657,12,1,2010
S6724533,L790429,12,1,2010
S6724548,L814286,8,1,2010
S6728424,L807750,10,2,2010
S6728448,L790429,12,1,2010
S6738251,L791657,12,1,2010
S6738260,L808822,12,1,2010
S6738295,L791662,8,2,2010
S6738332,L807750,10,2,2010
S6738365,L838323,NA,2,2010
S6738380,L808828,8,2,2010
S6755365,L687602,12,1,2010
S6755414,L790600,12,1,2010
S6755505,L790429,12,1,2010
S6755528,L790429,12,1,2010
S6755672,L791657,12,1,2010
S6755728,L792830,5,1,2010
S6764430,L808822,12,1,2010
S6764440,L792830,5,1,2010
S6764462,L793510,12,1,2010
S6764488,L790597,12,1,2010
S6764512,L805557,NA,2,2010
S6764531,L814286,8,1,2010
S6766576,L977493,12,1,2010
S6768230,L791662,8,2,2010
S6768342,L977493,12,1,2010
S6781792,L791657,12,1,2010
S6781815,L687541,12,1,2010
S6781836,L808822,12,1,2010
S6781847,L807750,10,2,2010
S6787465,L807750,10,2,2010
S6787482,L808822,12,1,2010
S6788728,L793798,6,1,2010
S6798011,L791657,12,1,2010
S6805343,L687602,12,1,2010
S6805372,L790600,12,1,2010
S6805379,L805557,NA,2,2010
S6805387,L687541,12,1,2010
S6810523,L790429,12,1,2010
S6814237,L790429,12,1,2010
S6817002,L687541,12,1,2010
S6821079,L687541,12,1,2010
S6821128,L791662,8,2,2010
S6821171,L977493,12,1,2010
S6825214,L790429,12,1,2010
S6825326,L791657,12,1,2010
S6839085,L790429,12,1,2010
S6842068,L790429,12,1,2010
S6842130,L791657,12,1,2010
S6842155,L807750,10,2,2010
S6842176,L813455,12,1,2010
S6842190,L687541,12,1,2010
S6844989,L687602,12,1,2010
S6845009,L977493,12,1,2010
S6845019,L801883,0,0,2010
S6845054,L791662,8,2,2010
S6845841,L790429,12,1,2010
S6878143,L791657,12,1,2010
S6878182,L687541,12,1,2010
S6879340,L790429,12,1,2010
S6882479,L687541,12,1,2010
S6882525,L791657,12,1,2010
S6882535,L687602,12,1,2010
S6882549,L790600,12,1,2010
S6882569,L791662,8,2,2010
S6882591,L977493,12,1,2010
S6882611,L790429,12,1,2010
S6894311,L793798,6,1,2010
S6894339,L808822,12,1,2010
S6898005,L687541,12,1,2010
S6899549,L790429,12,1,2010
S6905907,L792515,5,2,2010
S6909849,L687541,12,1,2010
S6909861,L687602,12,1,2010
S6909869,L790600,12,1,2010
S6909880,L790429,12,1,2010
S6913903,L791657,12,1,2010
S6918413,L793798,6,1,2010
S6918441,L836514,8,1,2010
S6918451,L790172,8,1,2010
S6987604,L687602,12,1,2010
S6987612,L790600,12,1,2010
S6987625,L1745501,5,1,2010
S6987630,L977493,12,1,2010
S6987640,L791662,8,2,2010
S7130577,L1026798,6,1,2010
S7130636,L791657,12,1,2010
S7133177,L808822,12,1,2010
S7133190,L1026817,2,2,2010
S7170836,L1032069,10,2,2010
S7188509,L791657,12,1,2010
S7188515,L791662,8,2,2010
S7188530,L977493,12,1,2010
S7188547,L687602,12,1,2010
S7188553,L790600,12,1,2010
S7188591,L793798,6,1,2010
S7320340,L1050701,8,2,2010
S8560340,L880783,10,2,2010
S9421488,L836514,8,1,2010
S10223357,L1234119,12,2,2011
S10223400,L791657,12,1,2011
S10223545,L836514,8,1,2011
S10223601,L1461922,12,2,2011
S10223671,L1460584,9,2,2011
S10223734,L791657,12,1,2011
S10223870,L810417,8,1,2011
S11315919,L687602,12,1,2011
S11315967,L845503,2,1,2011
S11316006,L793798,8,1,2011
S11316035,L944325,0,0,2011
S12283310,L687609,NA,2,2011
S15073790,L1234119,12,2,2011
S15073791,L1237919,12,2,2011
S15073792,L1234119,12,2,2011
S15073793,L1237285,8,1,2011
S15073794,L1237309,12,2,2011
S15073795,L792515,0,2,2011
S19496353,L3041746,0,6,2011
S21025048,L808822,12,1,2011
S21025082,L808822,12,1,2011
S23873704,L1461922,12,2,2011
S24616042,L791657,12,1,2011
S7411242,L791662,12,2,2011
S7411282,L805639,5,1,2011
S7411341,L793798,8,1,2011
S7411477,L1063059,13,1,2011
S7468690,L791657,12,1,2011
S7676966,L687602,12,1,2011
S7695065,L790600,12,1,2011
S7695290,L791657,12,1,2011
S7695584,L845503,2,1,2011
S7695863,L790172,8,1,2011
S7696265,L907464,5,1,2011
S7696522,L793798,8,1,2011
S7697236,L2604456,12,1,2011
S7697524,L791662,12,2,2011
S7697678,L977493,12,1,2011
S7726215,L791657,12,1,2011
S7726488,L791657,12,1,2011
S8024799,L1137309,13,2,2011
S8024827,L1137309,13,2,2011
S8024892,L1137316,8,2,2011
S8024933,L1137324,12,2,2011
S8481045,L1137309,13,2,2011
S8533078,L810417,8,1,2011
S8533257,L1226094,8,2,2011
S8533342,L1226115,0,2,2011
S8572570,L1234119,12,2,2011
S8573488,L791657,12,1,2011
S8578094,L1235324,6,1,2011
S8579420,L1234119,12,2,2011
S8579440,L791657,12,1,2011
S8584168,L791657,12,1,2011
S8584169,L1234119,12,2,2011
S8584208,L836514,8,1,2011
S8584222,L605028,0,2,2011
S8584268,L1236632,13,1,2011
S8584732,L605028,0,2,2011
S8587077,L793798,8,1,2011
S8587194,L793798,8,1,2011
S8587237,L808822,12,1,2011
S8587296,L605028,0,2,2011
S8587330,L1237285,8,1,2011
S8587340,L790172,8,1,2011
S8587356,L1237294,8,1,2011
S8587366,L1237298,6,1,2011
S8587375,L1237302,8,1,2011
S8587388,L792515,0,2,2011
S8587956,L1237557,0,1,2011
S8589284,L2604456,12,1,2011
S8589418,L1236632,13,1,2011
S8589426,L1235560,12,1,2011
S8590327,L1234119,12,2,2011
S8590391,L1237919,12,2,2011
S8590418,L1234119,12,2,2011
S8591966,L1234119,12,2,2011
S8591969,L791657,12,1,2011
S8596699,L1235324,6,1,2011
S8598373,L791657,12,1,2011
S8599144,L1243354,5,1,2011
S8599147,L1237285,8,1,2011
S8599163,L836514,8,1,2011
S8599170,L836514,8,1,2011
S8605016,L792515,0,2,2011
S8605018,L1237309,12,2,2011
S8605038,L1237309,12,2,2011
S8605039,L792515,0,2,2011
S8605070,L1237309,12,2,2011
S8605391,L1236632,13,1,2011
S8614204,L1236632,13,1,2011
S8619287,L1243332,8,1,2011
S8619377,L1243354,5,1,2011
S8619429,L790172,8,1,2011
S8619486,L1243354,5,1,2011
S8619962,L1243354,5,1,2011
S8620060,L1243354,5,1,2011
S8621506,L1243917,8,1,2011
S8621598,L1243938,12,2,2011
S8621602,L1243938,12,2,2011
S8621688,L1243938,12,2,2011
S8624231,L1234119,12,2,2011
S8624232,L1237285,8,1,2011
S8624239,L1237285,8,1,2011
S8624260,L1237285,8,1,2011
S8627043,L1237285,8,1,2011
S8628283,L1237285,8,1,2011
S8628289,L1243354,5,1,2011
S8628574,L1243938,12,2,2011
S8629543,L1237285,8,1,2011
S8629698,L1243917,8,1,2011
S8630037,L790172,8,1,2011
S8630047,L1243354,5,1,2011
S8630058,L1243332,8,1,2011
S8641192,L1234119,12,2,2011
S8646106,L1237919,12,2,2011
S8646107,L1234119,12,2,2011
S8646108,L1234119,12,2,2011
S8668943,L791657,12,1,2011
S8689216,L1234119,12,2,2011
S8689238,L1234119,12,2,2011
S8689256,L1254279,12,1,2011
S8689268,L1254286,8,1,2011
S8689273,L836514,8,1,2011
S8689279,L1234119,12,2,2011
S8689281,L1234119,12,2,2011
